Name, City, State, Stars, Category, Review Count
Subway, Nashville, TN, 1.5, Fast Food, 8
Machismo Burrito Bar, Philadelphia, PA, 3.0, Mexican, 30
Lennys Subs, Franklin, TN, 3.5, American, 6
Auntie Anne's, Indianapolis, IN, 3.0, Fast Food, 7
Abner's Pizza & Grill, Woodlyn, PA, 1.5, American, 5
Zeko's Mediterranean Grill, Tampa, FL, 4.5, Fast Food, 345
La Casita, New Orleans, LA, 4.0, Mexican, 202
Vecchia Osteria, Newtown, PA, 4.0, Italian, 359
Yama Japanese Restaurant, Lumberton, NJ, 3.0, Japanese, 52
Washington Crossing Inn, Washington Crossing, PA, 4.0, American, 144
Abbruzzi & Giunta's Italian Market, Mount Laurel, NJ, 4.5, Italian, 44
Tryst Gastro Lounge, St Petersburg, FL, 3.5, Mediterranean, 295
Wendy's, Sparks, NV, 2.5, Fast Food, 35
Mandalay Asian Cuisine, Saint Louis, MO, 3.0, Chinese, 16
Huge Impact Restaurant, Indianapolis, IN, 3.5, Mexican, 36
Guo Bin Chinese Restaurant, Saint Louis, MO, 3.5, Chinese, 51
P.F. Chang's, Franklin, TN, 2.5, Chinese, 181
Surf and Turf Kitchen, Lahaska, PA, 3.5, American, 25
Mexico Lindo, Pinellas Park, FL, 4.5, Mexican, 54
McDonald's, Philadelphia, PA, 2.0, Fast Food, 55
Rode's Fireside Restaurant & Tavern, Woolwich Twp, NJ, 3.5, American, 104
Sam's Grill, Jenkintown, PA, 3.5, American, 6
Cortina Ristorante & Bar, Reno, NV, 3.0, Italian, 5
Abe's Place, Tucson, AZ, 5.0, Mediterranean, 20
RuSan's Sushi and Seafood, Nashville, TN, 3.0, Japanese, 206
King House Chinese Restaurant, Trooper, PA, 3.5, Chinese, 15
Rally's, Indianapolis, IN, 1.0, Fast Food, 9
Catelli Ristorante & Caffe, Voorhees, NJ, 4.0, Italian, 8
Burger King, Tampa, FL, 2.0, Fast Food, 11
The Wine Tap, Belleville, IL, 4.5, Italian, 93
Freddy's Frozen Custard & Steakburgers, Marana, AZ, 3.5, American, 112
Taquería La Juquilita, Nashville, TN, 4.5, Mexican, 74
Super China Chinese Restaurant, Port Richey, FL, 4.0, Chinese, 54
Bully's Sports Bar & Grill, Sparks, NV, 2.5, American, 126
Tony's Restaurant, Carpinteria, CA, 3.0, American, 72
Le Peep, Meridian, ID, 4.0, American, 259
Taqueria La Hacienda, Philadelphia, PA, 3.5, American, 10
Wolfgang Puck Express, Indianapolis, IN, 2.0, American, 70
Rolling Tacos, Boise, ID, 3.5, Mexican, 5
Persian Room Fine Dining, Tucson, AZ, 4.5, Mediterranean, 258
McDonald's, Sun City Center, FL, 2.0, Fast Food, 24
El Carrito, Reno, NV, 5.0, Mexican, 6
Zydeco's, Belle Chasse, LA, 3.5, Cajun/Creole, 161
Zocalo, Philadelphia, PA, 2.5, Mexican, 59
Hardee's, Indianapolis, IN, 2.5, Fast Food, 6
Turning Point of North Wales, North Wales, PA, 3.0, American, 169
The 81 Hong Kong Cafe, Tucson, AZ, 4.0, Chinese, 133
Primanti Bros - Indianapolis, Indianapolis, IN, 3.5, American, 221
Little Caesars Pizza, Tucson, AZ, 2.0, Fast Food, 10
D-Town Bar & Grill, Dunedin, FL, 3.0, American, 91
Sangarlo's Pizza, Brooklawn, NJ, 2.5, Italian, 7
McDonald's, Franklin, TN, 2.5, Fast Food, 24
McAlister's Deli, Fenton, MO, 3.5, American, 46
Subway, Reno, NV, 2.0, Fast Food, 5
Saladworks, Philadelphia, PA, 3.5, American, 8
Olly, Philadelphia, PA, 4.0, American, 51
Subway, Tucson, AZ, 3.5, Fast Food, 6
McDonald's, Florissant, MO, 1.5, Fast Food, 11
Anani Bistro, Gulfport, FL, 4.5, American, 17
Spice Grill, Philadelphia, PA, 3.5, Chinese, 12
Han Dynasty, Philadelphia, PA, 4.0, Chinese, 783
Greek Sotir Grill, Hermitage, TN, 3.5, Mediterranean, 21
Blueberry Hill Pancake House, Indianapolis, IN, 3.5, American, 101
Mainland Grille, Harleysville, PA, 3.5, American, 27
Hakka Beef House, Philadelphia, PA, 4.5, Chinese, 33
Ristorante Primavera of Wayne, Wayne, PA, 2.5, Italian, 12
Pizza Hut, Metairie, LA, 2.5, Italian, 17
Guido's Italian Restaurant, Spring Hill, FL, 3.5, Italian, 128
3 Agaves Mexican Restaurant & Cantina, Avon, IN, 4.0, Mexican, 50
District Donuts Sliders Brew, New Orleans, LA, 4.5, American, 2062
QuikTrip, St Louis, MO, 4.5, Fast Food, 5
JB's Bar & Grill, Metairie, LA, 3.5, American, 7
Wei Hong Bakery & Restaurant, Saint Louis, MO, 4.0, Chinese, 135
Lan Zhou Lamen, Tampa, FL, 4.0, Chinese, 78
McDonald's, Woodstown, NJ, 1.5, Fast Food, 14
Wendy's, Belleville, IL, 2.0, Fast Food, 7
Season's Fresh, Tampa, FL, 4.5, American, 104
Thai 5 Fast Food, Tampa, FL, 4.0, Thai, 336
The Pint Room, Carmel, IN, 4.0, American, 423
Top Hog, Gallatin, TN, 4.5, American, 140
Steak ’n Shake, Port Richey, FL, 2.5, Fast Food, 45
McDonald's, Belleville, IL, 1.5, Fast Food, 12
